ts,phase,level,online,restores,est_npkts
1786576584,armed,38.5,1,37,
1786576585,armed,35.6,1,37,
1786576586,armed,33.0,1,37,
1786576587,armed,29.4,1,37,
1786576588,armed,27.0,1,37,
1786576589,armed,28.0,1,37,2260101
1786576590,armed,29.8,1,37,
1786576591,armed,33.1,1,37,
1786576592,disarmed,34.9,1,37,
1786576593,disarmed,36.9,1,37,
1786576594,disarmed,38.8,1,37,
1786576595,disarmed,40.6,1,37,
1786576596,disarmed,42.6,1,37,
1786576597,disarmed,44.3,1,37,
1786576598,disarmed,45.8,1,37,
1786576599,disarmed,47.4,1,37,
1786576600,disarmed,48.7,1,37,
1786576601,disarmed,50.6,1,37,
1786576602,disarmed,52.0,1,37,
1786576603,disarmed,53.1,1,37,
1786576604,disarmed,54.5,1,37,2263341
1786576605,disarmed,55.8,1,37,
1786576606,disarmed,57.2,1,37,
1786576607,disarmed,58.4,1,37,
1786576608,disarmed,59.4,1,37,
1786576609,disarmed,60.5,1,37,
1786576610,disarmed,61.4,1,37,
1786576611,disarmed,62.8,1,37,
1786576612,disarmed,63.8,1,37,
1786576613,disarmed,64.7,1,37,
1786576614,disarmed,65.6,1,37,
1786576615,disarmed,66.7,1,37,
1786576616,disarmed,67.5,1,37,
1786576617,disarmed,68.4,1,37,
1786576618,disarmed,69.2,1,37,
1786576619,disarmed,69.9,1,37,2266687
1786576621,disarmed,70.9,1,37,
1786576622,disarmed,67.9,1,37,
1786576623,disarmed,64.1,1,37,
1786576624,disarmed,60.7,1,37,
1786576625,disarmed,55.7,1,37,
1786576626,disarmed,52.3,1,37,
1786576627,disarmed,48.7,1,37,
1786576628,disarmed,45.7,1,37,
1786576629,disarmed,41.4,1,37,
1786576630,disarmed,38.6,1,37,
1786576631,disarmed,35.7,1,37,
1786576632,disarmed,33.0,1,37,
1786576633,disarmed,30.2,1,37,
1786576634,disarmed,26.9,1,37,
1786576635,disarmed,27.3,1,37,2270043
1786576636,disarmed,29.7,1,37,
1786576637,disarmed,31.8,1,37,
1786576638,disarmed,34.1,1,37,
1786576639,disarmed,36.9,1,37,
1786576640,disarmed,38.6,1,37,
1786576641,disarmed,40.3,1,37,
1786576642,disarmed,41.9,1,37,
1786576643,disarmed,44.1,1,37,
1786576644,disarmed,45.6,1,37,
1786576645,disarmed,47.2,1,37,
1786576646,disarmed,48.5,1,37,
1786576647,disarmed,50.0,1,37,
1786576648,disarmed,51.8,1,37,
1786576649,disarmed,53.0,1,37,
1786576650,disarmed,54.2,1,37,2273276
1786576651,disarmed,55.4,1,37,
1786576652,disarmed,56.7,1,37,
1786576653,disarmed,58.1,1,37,
1786576654,disarmed,59.3,1,37,
