ts,level,online,restores
1786570753.492,66.9,1,27
1786570754.511,66.9,1,27
1786570755.531,66.9,1,27
1786570756.550,66.9,1,27
1786570757.569,66.9,1,27
1786570758.587,66.9,1,27
1786570759.611,66.9,1,27
1786570760.635,66.9,1,27
1786570761.657,66.9,1,27
1786570762.678,66.9,1,27
1786570763.698,66.9,1,27
1786570764.720,66.9,1,27
1786570765.741,66.9,1,27
1786570766.762,66.9,1,27
1786570767.779,66.9,1,27
1786570768.799,66.9,1,27
1786570769.824,66.9,1,27
1786570770.844,66.9,1,27
1786570771.863,66.9,1,27
1786570772.883,66.9,1,27
1786570773.905,66.9,1,27
1786570774.923,66.9,1,27
1786570775.946,66.9,1,27
1786570776.971,66.9,1,27
1786570777.993,66.9,1,27
1786570779.012,66.9,1,27
1786570780.031,66.9,1,27
1786570781.053,66.9,1,27
1786570782.076,66.9,1,27
1786570783.095,66.9,1,27
1786570784.120,66.9,1,27
1786570785.142,66.9,1,27
1786570786.165,66.9,1,27
1786570787.188,66.9,1,27
1786570788.208,66.9,1,27
1786570789.231,66.9,1,27
1786570790.251,66.9,1,27
1786570791.272,66.9,1,27
1786570792.293,66.9,1,27
1786570793.317,66.9,1,27
1786570794.335,66.9,1,27
1786570795.360,66.9,1,27
1786570796.382,66.9,1,27
1786570797.403,66.9,1,27
1786570798.428,66.9,1,27
1786570799.451,66.9,1,27
1786570800.474,66.9,1,27
1786570801.495,66.9,1,27
1786570802.518,66.9,1,27
1786570803.539,66.9,1,27
1786570804.562,66.9,1,27
1786570805.580,66.9,1,27
1786570806.599,66.9,1,27
1786570807.622,66.9,1,27
1786570808.646,66.9,1,27
1786570809.668,66.9,1,27
1786570810.689,66.9,1,27
1786570811.710,66.9,1,27
1786570812.729,66.9,1,27
1786570813.755,66.9,1,27
1786570814.776,66.9,1,27
1786570815.796,66.9,1,27
1786570816.820,66.9,1,27
1786570817.840,66.9,1,27
1786570818.865,66.9,1,27
1786570819.888,66.9,1,27
1786570820.911,66.9,1,27
1786570821.935,66.9,1,27
1786570822.959,66.9,1,27
1786570823.978,66.9,1,27
1786570825.000,66.9,1,27
1786570826.027,66.9,1,27
1786570827.046,66.9,1,27
1786570828.070,66.9,1,27
1786570829.090,66.9,1,27
1786570830.114,66.9,1,27
1786570831.138,66.9,1,27
1786570832.161,66.9,1,27
1786570833.179,66.9,1,27
1786570834.202,66.9,1,27
1786570835.227,66.9,1,27
1786570836.247,66.9,1,27
1786570837.270,66.9,1,27
1786570838.293,66.9,1,27
1786570839.312,66.9,1,27
1786570840.329,66.9,1,27
1786570841.350,66.9,1,27
1786570842.372,66.9,1,27
1786570843.393,66.9,1,27
1786570844.416,66.9,1,27
1786570845.437,66.9,1,27
1786570846.460,66.9,1,27
1786570847.484,66.9,1,27
1786570848.507,66.9,1,27
1786570849.528,66.9,1,27
1786570850.551,66.9,1,27
1786570851.571,66.9,1,27
1786570852.594,66.9,1,27
1786570853.620,66.9,1,27
1786570854.645,66.9,1,27
1786570855.667,66.9,1,27
1786570856.695,66.9,1,27
1786570857.717,66.9,1,27
1786570858.742,66.9,1,27
1786570859.764,66.9,1,27
1786570860.786,66.9,1,27
1786570861.811,66.9,1,27
1786570862.837,66.9,1,27
1786570863.862,66.9,1,27
1786570864.885,66.9,1,27
1786570865.903,66.9,1,27
1786570866.924,66.9,1,27
1786570867.950,66.9,1,27
1786570868.970,66.9,1,27
1786570869.991,66.9,1,27
1786570871.010,66.9,1,27
1786570872.030,66.9,1,27
1786570873.054,66.9,1,27
1786570874.077,66.9,1,27
1786570875.102,66.9,1,27
1786570876.136,66.9,1,27
1786570877.162,66.9,1,27
1786570878.180,66.9,1,27
1786570879.199,66.9,1,27
1786570880.219,66.9,1,27
1786570881.240,66.9,1,27
1786570882.260,66.9,1,27
1786570883.278,66.9,1,27
1786570884.303,66.9,1,27
1786570885.329,66.9,1,27
1786570886.352,66.9,1,27
1786570887.374,66.9,1,27
1786570888.400,66.9,1,27
1786570889.422,66.9,1,27
1786570890.444,66.9,1,27
1786570891.463,66.9,1,27
1786570892.482,66.9,1,27
1786570893.504,66.9,1,27
1786570894.530,66.9,1,27
1786570895.549,66.9,1,27
1786570896.569,66.9,1,27
1786570897.593,66.9,1,27
1786570898.612,66.9,1,27
1786570899.635,66.9,1,27
1786570900.655,66.9,1,27
1786570901.681,66.9,1,27
1786570902.704,66.9,1,27
1786570903.725,66.9,1,27
1786570904.743,66.9,1,27
1786570905.763,66.9,1,27
1786570906.786,66.9,1,27
1786570907.811,66.9,1,27
1786570908.829,66.9,1,27
1786570909.849,66.9,1,27
1786570910.868,66.9,1,27
1786570911.890,66.9,1,27
1786570912.912,66.9,1,27
1786570913.934,66.9,1,27
1786570914.956,66.9,1,27
1786570915.981,66.9,1,27
1786570917.000,66.9,1,27
1786570918.020,66.9,1,27
1786570919.042,66.9,1,27
1786570920.063,66.9,1,27
1786570921.083,66.9,1,27
1786570922.107,66.9,1,27
1786570923.126,66.9,1,27
1786570924.145,66.9,1,27
1786570925.166,66.9,1,27
1786570926.191,66.9,1,27
1786570927.215,66.9,1,27
1786570928.239,66.9,1,27
1786570929.259,66.9,1,27
1786570930.276,66.9,1,27
1786570931.298,66.9,1,27
1786570932.321,66.9,1,27
1786570933.341,66.9,1,27
1786570934.359,66.9,1,27
1786570935.379,66.9,1,27
1786570936.403,66.9,1,27
1786570937.428,66.9,1,27
1786570938.452,66.9,1,27
1786570939.472,66.9,1,27
1786570940.492,66.9,1,27
1786570941.514,66.9,1,27
1786570942.536,66.9,1,27
1786570943.560,66.9,1,27
1786570944.580,66.9,1,27
1786570945.604,66.9,1,27
1786570946.625,66.9,1,27
1786570947.644,66.9,1,27
1786570948.667,66.9,1,27
1786570949.688,66.9,1,27
1786570950.708,66.9,1,27
1786570951.727,66.9,1,27
1786570952.748,66.9,1,27
1786570953.768,66.9,1,27
1786570954.789,66.9,1,27
1786570955.810,66.9,1,27
1786570956.833,66.9,1,27
1786570957.856,66.9,1,27
1786570958.875,66.9,1,27
1786570959.900,66.9,1,27
1786570960.921,66.9,1,27
1786570961.941,66.9,1,27
1786570962.961,66.9,1,27
1786570963.980,66.9,1,27
1786570965.000,66.9,1,27
1786570966.020,66.9,1,27
1786570967.041,66.9,1,27
1786570968.065,66.9,1,27
1786570969.090,66.9,1,27
1786570970.110,66.9,1,27
1786570971.133,66.9,1,27
1786570972.159,66.9,1,27
1786570973.178,66.9,1,27
1786570974.196,66.9,1,27
1786570975.218,66.9,1,27
