ts,level,online,restores
1786566579.881,64.6,1,27
1786566580.904,61.0,1,27
1786566581.928,57.1,1,27
1786566582.951,53.4,1,27
1786566583.971,48.9,1,27
1786566584.994,45.6,1,27
1786566586.018,42.7,1,27
1786566587.040,39.6,1,27
1786566588.059,36.5,1,27
1786566589.082,32.9,1,27
1786566590.108,30.4,1,27
1786566591.126,27.9,1,27
1786566592.147,28.2,1,27
1786566593.167,29.2,1,27
1786566594.191,32.0,1,27
1786566595.214,34.2,1,27
1786566596.234,36.4,1,27
1786566597.251,38.2,1,27
1786566598.271,39.8,1,27
1786566599.291,42.0,1,27
1786566600.314,43.6,1,27
1786566601.337,45.3,1,27
1786566602.361,46.9,1,27
1786566603.382,48.7,1,27
1786566604.404,50.0,1,27
1786566605.429,51.4,1,27
1786566606.453,52.7,1,27
1786566607.474,54.0,1,27
1786566608.497,55.6,1,27
1786566609.519,56.8,1,27
1786566610.547,57.9,1,27
1786566611.571,59.1,1,27
1786566612.592,60.4,1,27
1786566613.611,61.5,1,27
1786566614.631,62.5,1,27
1786566615.652,63.4,1,27
1786566616.674,64.4,1,27
1786566617.699,65.5,1,27
1786566618.723,66.4,1,27
1786566619.746,67.2,1,27
1786566620.768,68.1,1,27
1786566621.794,69.1,1,27
1786566622.816,69.9,1,27
1786566623.836,70.7,1,27
1786566624.861,70.7,1,27
1786566625.880,65.7,1,27
1786566626.900,61.1,1,27
1786566627.917,57.0,1,27
1786566628.936,53.1,1,27
1786566629.961,50.1,1,27
1786566630.984,46.7,1,27
1786566632.004,42.7,1,27
1786566633.027,39.5,1,27
1786566634.051,36.8,1,27
1786566635.071,33.9,1,27
1786566636.092,30.5,1,27
1786566637.113,27.8,1,27
1786566638.137,25.9,1,27
1786566639.158,29.2,1,27
1786566640.183,31.3,1,27
1786566641.206,34.2,1,27
1786566642.227,36.4,1,27
1786566643.252,38.0,1,27
1786566644.277,39.7,1,27
1786566645.297,41.9,1,27
1786566646.321,43.6,1,27
1786566647.340,45.3,1,27
1786566648.364,46.7,1,27
1786566649.387,48.1,1,27
1786566650.411,50.0,1,27
1786566651.439,51.4,1,27
1786566652.462,52.6,1,27
1786566653.484,53.9,1,27
1786566654.504,55.6,1,27
1786566655.526,56.7,1,27
1786566656.549,57.9,1,27
1786566657.574,58.9,1,27
1786566658.597,60.1,1,27
1786566659.614,61.4,1,27
1786566660.640,62.4,1,27
1786566661.665,63.4,1,27
1786566662.689,64.4,1,27
1786566663.714,65.2,1,27
1786566664.735,66.4,1,27
1786566665.757,67.3,1,27
1786566666.776,68.1,1,27
1786566667.797,68.9,1,27
1786566668.824,69.7,1,27
1786566669.848,70.6,1,27
1786566670.871,70.8,1,27
1786566671.893,65.8,1,27
1786566672.911,61.9,1,27
1786566673.934,57.1,1,27
1786566674.957,53.8,1,27
1786566675.978,50.2,1,27
1786566677.000,47.0,1,27
1786566678.026,42.8,1,27
1786566679.048,39.8,1,27
1786566680.070,36.8,1,27
1786566681.089,34.2,1,27
1786566682.113,31.3,1,27
1786566683.137,27.8,1,27
1786566684.160,25.6,1,27
1786566685.185,29.0,1,27
1786566686.206,31.1,1,27
1786566687.226,34.1,1,27
1786566688.247,35.9,1,27
1786566689.268,37.7,1,27
1786566690.292,39.5,1,27
1786566691.314,41.2,1,27
1786566692.337,43.4,1,27
1786566693.355,44.8,1,27
1786566694.380,46.4,1,27
1786566695.404,47.9,1,27
1786566696.426,49.3,1,27
1786566697.449,51.2,1,27
1786566698.472,52.4,1,27
1786566699.497,53.8,1,27
1786566700.516,54.9,1,27
1786566701.536,56.5,1,27
1786566702.555,57.7,1,27
1786566703.579,58.8,1,27
1786566704.598,59.8,1,27
1786566705.618,60.9,1,27
1786566706.638,62.3,1,27
1786566707.664,63.2,1,27
1786566708.686,64.1,1,27
1786566709.708,65.0,1,27
1786566710.732,66.2,1,27
1786566711.753,67.0,1,27
1786566712.774,67.9,1,27
1786566713.794,68.8,1,27
1786566714.819,69.5,1,27
1786566715.843,70.5,1,27
1786566716.865,71.2,1,27
1786566717.890,66.0,1,27
1786566718.910,62.4,1,27
1786566719.935,58.8,1,27
1786566720.953,54.1,1,27
1786566721.972,50.9,1,27
1786566722.993,47.5,1,27
1786566724.014,44.3,1,27
1786566725.038,41.0,1,27
1786566726.063,37.1,1,27
1786566727.083,34.5,1,27
1786566728.106,31.6,1,27
1786566729.125,29.2,1,27
1786566730.146,25.8,1,27
1786566731.166,29.2,1,27
1786566732.190,31.2,1,27
1786566733.215,33.5,1,27
1786566734.240,35.0,1,27
1786566735.264,37.8,1,27
1786566736.284,39.5,1,27
1786566737.305,41.2,1,27
1786566738.325,42.8,1,27
1786566739.347,45.0,1,27
1786566740.368,46.4,1,27
1786566741.386,47.9,1,27
1786566742.411,49.3,1,27
1786566743.432,50.7,1,27
1786566744.453,52.5,1,27
1786566745.478,53.7,1,27
1786566746.497,55.0,1,27
1786566747.519,56.1,1,27
1786566748.545,57.6,1,27
1786566749.566,58.8,1,27
1786566750.585,59.8,1,27
1786566751.605,61.0,1,27
1786566752.625,61.9,1,27
1786566753.645,63.2,1,27
1786566754.671,64.1,1,27
1786566755.692,65.0,1,27
1786566756.715,65.9,1,27
1786566757.740,66.8,1,27
1786566758.765,67.9,1,27
1786566759.785,68.7,1,27
1786566760.809,69.5,1,27
1786566761.829,70.2,1,27
1786566762.852,71.2,1,27
1786566763.873,65.9,1,27
1786566764.898,62.4,1,27
1786566765.924,58.8,1,27
1786566766.943,53.9,1,27
1786566767.965,50.7,1,27
1786566768.985,47.3,1,27
1786566770.009,44.1,1,27
1786566771.031,41.1,1,27
1786566772.052,37.3,1,27
1786566773.072,34.3,1,27
1786566774.094,31.7,1,27
1786566775.116,29.0,1,27
1786566776.137,26.5,1,27
1786566777.160,29.2,1,27
1786566778.180,31.2,1,27
1786566779.203,33.4,1,27
1786566780.228,34.8,1,27
1786566781.254,37.6,1,27
1786566782.274,39.5,1,27
1786566783.295,41.2,1,27
1786566784.316,42.7,1,27
1786566785.339,44.9,1,27
1786566786.363,46.3,1,27
1786566787.385,47.8,1,27
1786566788.411,49.3,1,27
1786566789.433,50.6,1,27
1786566790.452,52.0,1,27
1786566791.473,53.7,1,27
1786566792.495,54.9,1,27
1786566793.514,56.2,1,27
1786566794.535,57.2,1,27
1786566795.554,58.7,1,27
1786566796.577,59.9,1,27
1786566797.599,60.9,1,27
1786566798.623,61.9,1,27
1786566799.648,62.9,1,27
1786566800.668,64.1,1,27
1786566801.685,65.1,1,27
1786566802.703,65.9,1,27
1786566803.725,66.8,1,27
1786566804.745,67.6,1,27
1786566805.768,68.7,1,27
1786566806.787,69.5,1,27
1786566807.811,70.3,1,27
1786566808.831,71.0,1,27
1786566809.854,66.5,1,27
1786566810.875,62.5,1,27
1786566811.914,58.9,1,27
1786566812.935,55.6,1,27
1786566813.957,52.1,1,27
1786566814.982,47.5,1,27
1786566816.001,44.5,1,27
1786566817.020,41.3,1,27
1786566818.042,38.1,1,27
1786566819.061,35.5,1,27
1786566820.086,31.7,1,27
1786566821.110,29.2,1,27
1786566822.135,26.9,1,27
1786566823.156,28.3,1,27
1786566824.175,31.4,1,27
1786566825.194,33.1,1,27
1786566826.219,34.9,1,27
1786566827.238,36.9,1,27
1786566828.260,38.8,1,27
1786566829.285,41.1,1,27
1786566830.311,42.7,1,27
1786566831.335,44.3,1,27
1786566832.354,45.8,1,27
1786566833.376,47.4,1,27
1786566834.397,49.3,1,27
1786566835.417,50.5,1,27
1786566836.443,52.0,1,27
1786566837.465,53.1,1,27
1786566838.484,54.9,1,27
1786566839.509,56.1,1,27
1786566840.529,57.2,1,27
1786566841.551,58.3,1,27
1786566842.571,59.7,1,27
1786566843.595,60.8,1,27
1786566844.614,61.7,1,27
1786566845.639,62.8,1,27
1786566846.659,63.7,1,27
1786566847.681,64.9,1,27
1786566848.700,65.8,1,27
1786566849.721,66.7,1,27
1786566850.739,67.5,1,27
1786566851.763,68.6,1,27
1786566852.783,69.4,1,27
1786566853.805,70.2,1,27
1786566854.825,70.9,1,27
1786566855.847,66.2,1,27
1786566856.867,62.3,1,27
1786566857.889,59.9,1,27
1786566858.909,55.7,1,27
1786566859.931,52.2,1,27
1786566860.951,47.8,1,27
1786566861.968,44.7,1,27
1786566862.989,41.5,1,27
1786566864.010,38.7,1,27
1786566865.031,34.8,1,27
1786566866.048,32.3,1,27
1786566867.074,29.5,1,27
1786566868.092,27.2,1,27
1786566869.115,28.7,1,27
1786566870.135,31.4,1,27
1786566871.154,33.4,1,27
1786566872.173,35.2,1,27
1786566873.199,37.1,1,27
1786566874.219,38.9,1,27
1786566875.244,41.2,1,27
1786566876.265,42.9,1,27
1786566877.287,44.5,1,27
1786566878.309,46.0,1,27
1786566879.333,47.9,1,27
1786566880.356,49.3,1,27
1786566881.377,50.7,1,27
1786566882.400,52.0,1,27
1786566883.425,53.7,1,27
1786566884.448,54.9,1,27
1786566885.472,56.1,1,27
1786566886.495,57.2,1,27
1786566887.518,58.4,1,27
1786566888.538,59.9,1,27
1786566889.559,60.8,1,27
1786566890.584,61.9,1,27
1786566891.602,62.8,1,27
1786566892.622,63.8,1,27
1786566893.644,65.0,1,27
1786566894.666,65.9,1,27
1786566895.685,66.7,1,27
1786566896.705,67.6,1,27
1786566897.731,68.6,1,27
1786566898.755,69.5,1,27
1786566899.778,70.2,1,27
1786566900.799,70.9,1,27
1786566901.823,66.3,1,27
1786566902.846,62.5,1,27
1786566903.865,59.4,1,27
1786566904.886,55.8,1,27
1786566905.906,52.2,1,27
1786566906.929,47.8,1,27
1786566907.948,44.7,1,27
1786566908.974,41.5,1,27
1786566909.995,38.7,1,27
1786566911.020,35.7,1,27
1786566912.039,31.9,1,27
1786566913.062,29.5,1,27
1786566914.085,26.8,1,27
1786566915.105,27.3,1,27
1786566916.125,29.8,1,27
1786566917.151,33.0,1,27
1786566918.172,34.9,1,27
1786566919.195,36.9,1,27
1786566920.216,38.6,1,27
1786566921.234,40.9,1,27
1786566922.256,42.5,1,27
1786566923.276,44.2,1,27
1786566924.299,45.8,1,27
1786566925.317,47.2,1,27
1786566926.340,49.2,1,27
1786566927.365,50.4,1,27
1786566928.386,51.8,1,27
1786566929.411,53.0,1,27
1786566930.432,54.4,1,27
1786566931.451,56.0,1,27
1786566932.472,57.1,1,27
1786566933.493,58.3,1,27
1786566934.515,59.2,1,27
1786566935.535,60.7,1,27
1786566936.553,61.7,1,27
1786566937.579,62.7,1,27
1786566938.602,63.6,1,27
1786566939.625,64.6,1,27
1786566940.648,65.8,1,27
1786566941.674,66.6,1,27
1786566942.700,67.5,1,27
1786566943.718,68.3,1,27
1786566944.738,69.1,1,27
1786566945.756,70.2,1,27
1786566946.776,70.9,1,27
1786566947.802,68.4,1,27
1786566948.821,64.9,1,27
1786566949.846,59.5,1,27
1786566950.865,55.7,1,27
1786566951.891,52.2,1,27
1786566952.911,49.1,1,27
1786566953.936,45.8,1,27
1786566954.959,41.6,1,27
1786566955.979,38.8,1,27
1786566957.002,35.6,1,27
1786566958.022,33.0,1,27
1786566959.043,29.4,1,27
1786566960.066,27.1,1,27
1786566961.087,27.3,1,27
1786566962.109,29.3,1,27
1786566963.135,31.7,1,27
1786566964.154,34.7,1,27
1786566965.176,36.7,1,27
1786566966.200,38.4,1,27
1786566967.219,40.1,1,27
1786566968.242,42.3,1,27
1786566969.268,43.9,1,27
1786566970.287,45.5,1,27
1786566971.312,47.0,1,27
1786566972.332,48.5,1,27
1786566973.353,50.2,1,27
1786566974.374,51.6,1,27
1786566975.397,52.8,1,27
1786566976.422,54.1,1,27
1786566977.444,55.8,1,27
1786566978.464,56.9,1,27
1786566979.483,58.1,1,27
1786566980.508,59.0,1,27
1786566981.533,60.5,1,27
1786566982.558,61.5,1,27
1786566983.583,62.6,1,27
1786566984.603,63.4,1,27
1786566985.629,64.4,1,27
1786566986.649,65.6,1,27
1786566987.673,66.4,1,27
1786566988.693,67.3,1,27
1786566989.713,68.2,1,27
1786566990.734,69.2,1,27
1786566991.754,69.9,1,27
1786566992.776,70.7,1,27
1786566993.796,70.2,1,27
1786566994.816,65.7,1,27
